Instagram 155.0.0.37.107 Android (29/10; 320dpi; 720x1280; Xiaomi; Redmi Note 7; lavender; qcom; en_US)
Instagram 158.0.0.37.106 Android (30/10; 360dpi; 1080x2340; Samsung; Galaxy A52; a52; exynos; en_US)
Instagram 154.0.0.37.106 Android (29/10; 320dpi; 1080x2340; OPPO; A53s 5G; CPH2135; qcom; en_US)
Instagram 156.0.0.37.107 Android (30/10; 480dpi; 1440x3040; Samsung; Galaxy S20; lte; exynos; en_US)
Instagram 152.0.0.37.106 Android (29/10; 320dpi; 1080x2340; OnePlus; 8T; interstellar; qcom; en_US)
Instagram 157.0.0.37.108 Android (29/10; 400dpi; 1080x2400; Vivo; V21e; PD2107F; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 320dpi; 1080x2280; Motorola; Moto G60; guacamole; qcom; en_US)
Instagram 159.0.0.37.108 Android (30/10; 360dpi; 1080x2340; Xiaomi; Mi 10; umi; qcom; en_US)
Instagram 161.0.0.37.107 Android (30/10; 420dpi; 1440x3120; Huawei; P40 Pro; Elisa; kirin; en_US)
Instagram 155.0.0.37.107 Android (29/10; 280dpi; 750x1334; POCO; X3 Pro; Vayu; qcom; en_US)
Instagram 160.0.0.37.107 Android (29/10; 320dpi; 1080x2400; OPPO; F19 Pro; CPH2219; mediatek; en_US)
Instagram 156.0.0.37.107 Android (29/10; 480dpi; 1440x3200; Samsung; Galaxy S21; p6xl; exynos; en_US)
Instagram 157.0.0.37.106 Android (30/10; 360dpi; 1080x2340; Xiaomi; Redmi Note 10; mojito; qcom; en_US)
Instagram 154.0.0.37.106 Android (29/10; 320dpi; 1080x2400; OPPO; Reno 5 Pro 5G; CPH2201; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 280dpi; 720x1600; Realme; Narzo 50A; RMX3430; mediatek; en_US)
Instagram 158.0.0.37.107 Android (30/10; 320dpi; 1080x2400; Vivo; Y73; PD2059F; mediatek; en_US)
Instagram 161.0.0.37.108 Android (29/10; 400dpi; 1080x2340; OnePlus; 9R; martini; qcom; en_US)
Instagram 159.0.0.37.106 Android (30/10; 420dpi; 1440x3120; Huawei; Mate 40 Pro; NOH-AN00; kirin; en_US)
Instagram 157.0.0.37.108 Android (30/10; 360dpi; 1080x2400; POCO; X3 NFC; surya; qcom; en_US)
Instagram 160.0.0.37.107 Android (29/10; 320dpi; 1080x2340; Samsung; Galaxy M32; a32; exynos; en_US)
Instagram 155.0.0.37.107 Android (30/10; 360dpi; 1080x2400; Realme; 8 Pro; RMX3081; snapdragon; en_US)
Instagram 152.0.0.37.106 Android (29/10; 320dpi; 1080x2400; Xiaomi; Mi 11X Pro; alioth; qcom; en_US)
Instagram 158.0.0.37.107 Android (30/10; 420dpi; 1080x2400; Oppo; Find X3 Pro; CPH2173; snapdragon; en_US)
Instagram 156.0.0.37.107 Android (29/10; 400dpi; 1440x3040; Vivo; V21; PD2106F; mediatek; en_US)
Instagram 155.0.0.37.106 Android (30/10; 320dpi; 1080x2400; Xiaomi; Poco F3; alioth; qcom; en_US)
Instagram 157.0.0.37.108 Android (30/10; 400dpi; 1080x2340; Realme; X7 Max; RMX3031; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 280dpi; 1080x2400; Samsung; Galaxy M21; m21; exynos; en_US)
Instagram 161.0.0.37.107 Android (30/10; 360dpi; 1080x2400; OnePlus; 8 Pro; instantnoodle; qcom; en_US)
Instagram 154.0.0.37.107 Android (29/10; 320dpi; 1080x2340; Huawei; Nova 8i; HWI-N03; kirin; en_US)
Instagram 155.0.0.37.107 Android (30/10; 320dpi; 1080x2340; Realme; Narzo 30 Pro; RMX2161; mediatek; en_US)
Instagram 159.0.0.37.106 Android (29/10; 480dpi; 1440x3200; Samsung; Galaxy Note 20 Ultra; codenamed_r; exynos; en_US)
